station,tmax,tmin,air_frost,rain,sun,classification
aberporth,12.3,7.1,1.5,72.6,129.0,dry
armagh,12.9,5.8,3.3,66.4,99.5,dry
ballypatrick,11.9,5.8,0.0,108.5,115.9,rainy
belmullet,12.8,7.2,0.0,100.0,101.7,rainy
birr,13.3,6.0,0.0,68.5,96.6,dry
bradford,12.4,5.8,3.5,72.3,102.7,dry
braemar,10.5,2.8,8.5,76.1,101.3,dry
camborne,13.2,8.2,0.8,91.1,136.0,rainy
cambridge,14.1,6.1,3.5,46.2,125.4,dry
cardiff,14.2,6.8,3.1,92.0,125.2,rainy
casementaerodrome,13.2,6.0,0.0,60.4,109.6,dry
claremorris,12.9,5.7,0.0,97.9,89.5,rainy
clones,12.7,5.7,0.0,78.4,98.7,rainy
cork,12.8,6.7,0.0,102.0,114.3,rainy
cwmystwyth,11.5,4.9,5.0,152.7,95.8,rainy
dublin,13.1,6.6,0.0,61.3,117.8,dry
dunstaffnage,12.2,6.2,2.3,150.4,101.3,rainy
durham,12.5,5.1,4.4,53.0,114.5,dry
eastbourne,13.7,8.4,1.3,65.9,154.5,dry
eskdalemuir,11.0,3.6,7.2,136.3,98.1,rainy
heathrow,14.9,7.1,2.9,49.1,131.4,dry
hurn,14.5,5.7,5.0,67.7,143.7,dry
kilkenny,13.7,5.7,0.0,70.6,104.8,dry
lerwick,9.3,5.0,3.2,103.0,88.9,rainy
leuchars,12.2,4.9,4.9,54.6,127.2,dry
lowestoft,13.0,7.0,2.3,48.1,127.8,dry
malinhead,12.0,7.2,0.0,91.3,101.8,rainy
manston,13.8,7.1,2.4,46.9,144.2,dry
mullingar,12.8,5.5,0.0,73.9,106.4,dry
nairn,11.9,4.9,4.4,49.6,106.4,dry
newtonrigg,11.9,4.7,5.1,74.3,107.8,dry
oxford,14.1,6.7,3.0,53.6,128.5,dry
paisley,12.7,6.1,3.0,100.5,103.5,rainy
ringway,13.2,6.4,3.2,67.3,116.5,dry
rochespoint,13.2,7.9,0.0,60.7,121.2,dry
rosslare,12.9,8.0,0.0,74.3,129.4,dry
rossonwye,14.1,6.3,3.6,58.9,125.7,dry
shannon,13.8,7.3,0.0,80.5,103.3,rainy
shawbury,13.4,5.2,5.1,54.7,116.8,dry
sheffield,13.1,6.4,2.7,68.7,115.4,dry
southampton,14.6,7.3,2.5,60.6,138.3,dry
stornoway,11.0,5.6,2.5,102.7,101.5,rainy
suttonbonington,13.5,5.8,4.0,50.2,116.0,dry
tiree,11.6,6.6,1.1,103.2,116.8,rainy
valentia,13.6,7.9,0.0,125.8,101.5,rainy
valley,13.1,7.5,1.5,69.1,135.4,dry
waddington,13.1,5.9,3.5,49.9,128.5,dry
whitby,12.1,6.1,2.7,48.5,124.5,dry
wickairport,10.5,4.9,3.6,65.0,102.4,dry
yeovilton,14.5,6.2,4.2,59.4,128.5,dry
