station,lon,lat,elevation,country,coast_distance,island
aberporth,-4.57,52.139,133,Wales,495,Britain
armagh,-6.649,54.352,62,Northern Ireland,28550,Ireland
athenry,-8.786,53.289,40,Ireland,9394,Ireland
ballyhaise,-7.31,54.051,78,Ireland,59598,Ireland
ballypatrick,-6.153,55.181,156,Northern Ireland,3960,Ireland
belmullet,-10.007,54.228,9,Ireland,207,Ireland
bradford,-1.772,53.813,134,England,37512,Britain
braemar,-3.396,57.011,339,Scotland,60996,Britain
camborne,-5.327,50.218,87,England,2480,Britain
cambridge,0.102,52.245,26,England,11895,Britain
cardiff,-3.187,51.488,9,Wales,4470,Britain
casementaerodrome,-6.439,53.306,91,Ireland,13587,Ireland
chivenor,-4.147,51.089,6,England,530,Britain
claremorris,-8.991,53.711,69,Ireland,38396,Ireland
cork,-8.486,51.847,155,Ireland,6054,Ireland
cwmystwyth,-3.802,52.358,301,Wales,20122,Britain
dublinairport,-6.241,53.428,71,Ireland,4789,Ireland
dunsany,-6.66,53.516,83,Ireland,30847,Ireland
dunstaffnage,-5.439,56.451,3,Scotland,0,Britain
durham,-1.585,54.768,102,England,11182,Britain
eastbourne,0.285,50.762,7,England,176,Britain
eskdalemuir,-3.206,55.311,242,Scotland,34817,Britain
finner,-8.243,54.494,33,Ireland,673,Ireland
heathrow,-0.449,51.479,25,England,8705,Britain
hurn,-1.835,50.779,10,England,4647,Britain
johnstowncastle,-6.497,52.298,62,Ireland,3579,Ireland
knockairport,-8.817,53.906,201,Ireland,35254,Ireland
lerwick,-1.183,60.139,82,Scotland,450,Britain
leuchars,-2.861,56.377,10,Scotland,655,Britain
lowestoft,1.727,52.483,25,England,641,Britain
macehead,-9.901,53.326,21,Ireland,253,Ireland
malinhead,-7.339,55.372,20,Ireland,201,Ireland
manston,1.337,51.346,49,England,3206,Britain
markree,-8.456,54.175,34,Ireland,5750,Ireland
moorepark,-8.264,52.164,46,Ireland,32943,Ireland
mtdillon,-7.981,53.727,39,Ireland,64505,Ireland
mullingar,-7.356,53.522,111,Ireland,75957,Ireland
nairn,-3.821,57.593,23,Scotland,760,Britain
newport,-9.573,53.924,22,Ireland,2204,Ireland
newtonrigg,-2.786,54.67,169,England,32263,Britain
oakpark,-6.915,52.861,62,Ireland,50974,Ireland
oxford,-1.262,51.761,63,England,69707,Britain
paisley,-4.43,55.846,32,Scotland,506,Britain
phoenixpark,-6.35,53.364,48,Ireland,8040,Ireland
ringway,-2.279,53.356,69,England,20074,Britain
rochespoint,-8.244,51.793,43,Ireland,113,Ireland
rossonwye,-2.584,51.911,67,England,14741,Britain
shannon,-8.918,52.69,15,Ireland,109,Ireland
shawbury,-2.663,52.794,72,England,56360,Britain
sheffield,-1.49,53.381,131,England,32607,Britain
southampton,-1.408,50.898,3,England,117,Britain
stornoway,-6.318,58.214,15,Scotland,209,Britain
suttonbonington,-1.25,52.833,48,England,49216,Britain
tiree,-6.88,56.5,12,Scotland,1241,Britain
valentia,-10.241,51.938,24,Ireland,438,Ireland
valley,-4.535,53.252,10,Wales,1355,Britain
waddington,-0.522,53.175,68,England,17216,Britain
whitby,-0.624,54.481,41,England,649,Britain
wickairport,-3.088,58.454,36,Scotland,1269,Britain
yeovilton,-2.641,51.006,20,England,17317,Britain
